tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,tax_abund_raw,seq_abund_raw,norm_abund,classified_fraction
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,562,562,Escherichia coli,Escherichia coli,species,14.1698,fraction_reads,1.2527,14.1698,14.736078005599165,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,573,573,Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.0139,fraction_reads,0.0011,0.0139,0.014455495792306762,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,817,817,Bacteroides fragilis,Bacteroides fragilis,species,17.4638,fraction_reads,1.483,17.4638,18.161718519258045,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.0065,fraction_reads,0.0006,0.0065,0.006759764219424026,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.006,fraction_reads,0.0005,0.006,0.006239782356391409,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,0.0027,fraction_reads,0.0003,0.0027,0.0028079020603761344,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,Faecalibacterium prausnitzii_E,Faecalibacterium prausnitzii,species,11.489,fraction_reads,1.7409,11.489,11.948143248763484,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.0027,fraction_reads,0.0004,0.0027,0.0028079020603761344,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1496,1496,Clostridioides difficile,Clostridioides difficile,species,1.8056,fraction_reads,0.1934,1.8056,1.877758503783388,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1613,1613,Limosilactobacillus fermentum,Limosilactobacillus fermentum,species,5.04,fraction_reads,1.1882,5.04,5.241417179368783,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,4.3243,fraction_reads,0.9211,4.3243,4.497115140623895,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2173,2173,Methanobrevibacter_A smithii,Methanobrevibacter smithii,species,0.119,fraction_reads,0.0286,0.119,0.12375568340176293,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,5476,5476,Candida albicans,Candida albicans,species,1.3828,fraction_reads,0.0431,1.3828,1.4380618404030068,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,0.0068,fraction_reads,0.0005,0.0068,0.007071753337243596,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28128,28128,Prevotella corporis,Prevotella corporis,species,6.606,fraction_reads,1.05,6.606,6.870000374386941,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,28901,28901,Salmonella enterica,Salmonella enterica,species,0.018,fraction_reads,0.0016,0.018,0.018719347069174226,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.0092,fraction_reads,0.0009,0.0092,0.00956766627980016,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.0076,fraction_reads,0.0008,0.0076,0.007903724318095785,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,76859,76859,Fusobacterium animalis,Fusobacterium animalis,species,5.6707,fraction_reads,1.004,5.6707,5.897322301398128,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,216816,216816,Bifidobacterium longum,Bifidobacterium longum,species,0.0164,fraction_reads,0.0031000000000000003,0.0164,0.01705540510746985,0.961572
Sylph,default,Sylph_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,239935,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,1.4885,fraction_reads,0.2487,1.4885,1.547986006248102,0.961572
